[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[-6.69223756e-03  ,3.37898033e+01 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 4.99326630e+01  ,4.33109696e+01 , 2.73259681e+01 , 2.74326174e+01 , 1.93797318e+02]
 ,[-2.68909510e-02  ,8.59684058e+01 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[-3.19351915e-02  ,2.36844637e+01 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 2.57163462e+01  ,5.45615554e+01 , 5.19962753e+01 , 2.59555913e+01 , 2.54567122e+01]
 ,[-5.65379047e-02 ,-1.99376126e-01 , 2.93505707e+01 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[-4.79815834e-02  ,0.00000000e+00 , 2.00811464e+01 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 1.48671895e+01  ,2.00279000e+01 , 1.50201527e+01 , 1.50260906e+01 , 5.01279300e+01]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 3.42128944e+01  ,3.59747263e+01 , 3.58649174e+01 , 3.61585770e+01 , 3.65027736e+01]
 ,[ 3.99531199e+01  ,6.13201430e+01 , 0.00000000e+00 , 4.91104787e+01 , 6.01028691e+01]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[-7.65324109e-03  ,4.50655159e+01 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 2.95317531e+01  ,2.94538632e+01 , 5.62608617e+01 , 2.95694000e+01 , 3.38682099e+01]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 6.11474527e+01 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[-2.37386462e-02  ,3.16047096e+01 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 2.10741907e+01  ,2.08978119e+01 , 4.34210199e+01 , 2.29289225e+01 , 2.09944950e+01]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 2.85176302e+01  ,2.80044949e+01 , 2.86120282e+01 , 3.30821485e+01 , 2.84514174e+01]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 7.03095214e+01  ,6.60874760e+01 , 7.15758020e+01 , 6.84027715e+01 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[-5.90979961e-03  ,5.79443111e+01 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 3.05967895e+01  ,3.10982176e+01 , 9.67504027e+01 , 3.22077755e+01 , 3.17192739e+01]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+0  ,0.00000000e+00]
 ,[-1.09557079e-02  ,5.69440375e+01 , 4.28999475e+01 , 0.00000000e+0  ,4.78427272e+01]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+0  ,0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+0  ,0.00000000e+00]
 ,[-8.38907227e-03  ,4.64823529e+01 , 0.00000000e+00 , 0.00000000e+0  ,0.00000000e+00]
 ,[ 3.46239376e+01  ,3.45527119e+01 , 3.45725123e+01 , 3.42430046e+0  ,6.61814486e+01]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+0  ,0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+0  ,0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+0  ,0.00000000e+00]
 ,[-1.73298111e-02  ,3.24604422e+01 , 0.00000000e+00 , 2.85935735e+0  ,0.00000000e+00]
 ,[ 3.31378491e+01  ,2.65445972e+01 , 3.30469340e+01 , 2.60589379e+0  ,6.47619983e+01]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+0  ,0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+0  ,0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+0  ,0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+0  ,0.00000000e+00]
 ,[ 5.20853348e+01  ,5.05414668e+01 , 4.67719512e+01 , 5.88074173e+0  ,5.20174686e+01]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+0  ,0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+0  ,0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+0  ,0.00000000e+00]
 ,[ 0.00000000e+00  ,0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00]
