batch_size,learning_rate,nbeps,target_update_freq,avg_checkpoints,final_reward_mean,final_loss
128,0.0001,50,"[20, 50]",0.0,-511.3419335469982,991.9686889648438
128,0.0001,50,"[20, 50]",0.0,-609.4234217093642,3569.1640625
128,0.0001,100,"[20, 50]",0.032,-1035.5598625267198,141.2598876953125
128,0.0001,100,"[20, 50]",0.0,-460.5778074025966,34.75995635986328
128,1e-05,50,"[20, 50]",0.005,-462.8007700640336,3396.4541015625
128,1e-05,50,"[20, 50]",0.013,-604.185291271422,3197.122802734375
128,1e-05,100,"[20, 50]",0.0,-423.04234331830577,41.29957580566406
128,1e-05,100,"[20, 50]",0.155,-1230.9266502760001,2181.676025390625
256,0.0001,50,"[20, 50]",0.127,-758.4638581011491,1423.97412109375
256,0.0001,50,"[20, 50]",0.0,-610.7286704505693,1230.2880859375
256,0.0001,100,"[20, 50]",0.106,-481.90598691929046,230.61993408203125
256,0.0001,100,"[20, 50]",0.0,-472.75840647136215,641.3828735351562
256,1e-05,50,"[20, 50]",0.233,-734.0720120969036,710.45263671875
256,1e-05,50,"[20, 50]",0.0,-685.2889394921392,78.19115447998047
256,1e-05,100,"[20, 50]",0.116,-798.1852193859086,158.96763610839844
256,1e-05,100,"[20, 50]",0.284,-1291.242008329227,955.26220703125
